,externallogid,source,location,type
116,752527,Rum 1.229/Temp_SP_standby,,setpoint
117,752528,Rum 1.229/Temp_SP_night,,setpoint
118,752529,Rum 1.229/Efterløbstid_spjæld,,
119,752530,Rum 1.229/Lux_SP,,
120,752531,Rum 1.229/Lux_efterløbstid,,
121,752532,Rum 1.229/Ventilation_status,,
122,752533,Rum 1.229/Rumpanel_lys,,
123,752534,Rum 1.229/Afbryder_loft_lys,,
124,752535,Rum 1.231/VAV02,,
125,752536,Rum 1.231/Offset_STR,,
126,752537,Rum 1.231/Lux_meter,,
127,752538,Rum 1.231/Light_niveau,,
128,752539,Rum 1.231/Light_supply,,
129,752540,Rum 1.231/Radiator_valve,,
130,752541,Rum 1.231/Rum_Temp_Dag,,setpoint
131,752542,Rum 1.231/Temp_SP_dag,,setpoint
132,752543,Rum 1.231/Temp_SP_standby,,setpoint
133,752544,Rum 1.231/Temp_SP_night,,setpoint
134,752545,Rum 1.231/Efterløbstid_spjæld,,
135,752546,Rum 1.231/Lux_SP,,
136,752547,Rum 1.231/Lux_efterløbstid,,
137,752548,Rum 1.231/Ventilation_status,,
138,752549,Rum 1.231/Rumpanel_lys,,
139,752550,Rum 1.231/Afbryder_loft_lys,,
140,752551,Rum 1.233/VAV02,,
141,752552,Rum 1.233/Offset_STR,,
142,752553,Rum 1.233/Lux_meter,,
143,752554,Rum 1.233/Light_niveau,,
144,752555,Rum 1.233/Light_supply,,
145,752556,Rum 1.233/Radiator_valve,,
146,752557,Rum 1.233/Rum_Temp_Dag,,setpoint
147,752558,Rum 1.233/Temp_SP_dag,,setpoint
148,752559,Rum 1.233/Temp_SP_standby,,setpoint
149,752560,Rum 1.233/Temp_SP_night,,setpoint
150,752561,Rum 1.233/Efterløbstid_spjæld,,
151,752562,Rum 1.233/Lux_SP,,
152,752563,Rum 1.233/Lux_efterløbstid,,
153,752564,Rum 1.233/Ventilation_status,,
154,752565,Rum 1.233/Rumpanel_lys,,
155,752566,Rum 1.233/Afbryder_loft_lys,,
156,753498,Rum 1.213/CO2_1.213,,
157,753499,Rum 1.213/TRU01_1.213,,
158,753500,Rum 1.217/TRU01_1.217,,
159,753501,Rum 1.217/CO2_1.217,,
160,753502,Rum 1.229/TRU01_1.229,,
161,753503,Rum 1.229/CO2_1.229,,
162,753504,Rum 1.231/TRU01_1.231,,
163,753505,Rum 1.231/CO2_1.231,,
164,753506,Rum 1.233/TRU01_1.233,,
165,753507,Rum 1.233/CO2_1.233,,
