"",externallogid,source,location,sensor_type,unit,ignore
81,752492,Rum 1.215/Offset_STR,1.215,TBD,TBD,0
82,752493,Rum 1.215/Ventilation_status,1.215,TBD,TBD,0
83,752494,Rum 1.215/Radiator_valve,1.215,opening_signal,%,0
84,752495,Rum 1.215/VAV02,1.215,extraction_damper,%,0
85,752496,Rum 1.215/Rum_Temp_Dag,1.215,setpoint,c,0
86,752497,Rum 1.215/Temp_SP_dag,1.215,setpoint,c,0
87,752498,Rum 1.215/Temp_SP_standby,1.215,setpoint,c,0
88,752499,Rum 1.215/Temp_SP_night,1.215,setpoint,c,0
89,752500,Rum 1.215/Efterløbstid_spjæld,1.215,TBD,TBD,0
90,752501,Rum 1.215/Lux_SP,1.215,light_level_setpoint_for_switch_off,lux,0
91,752502,Rum 1.215/Lux_efterløbstid,1.215,TBD,TBD,0
92,752503,Rum 1.217/VAV02,1.217,extraction_damper,%,0
93,752504,Rum 1.217/Offset_STR,1.217,TBD,TBD,0
94,752505,Rum 1.217/Lux_meter,1.217,occupancy,lux,0
95,752506,Rum 1.217/Light_niveau,1.217,TBD,TBD,0
96,752507,Rum 1.217/Light_supply,1.217,TBD,TBD,0
97,752508,Rum 1.217/Radiator_valve,1.217,opening_signal,%,0
98,752509,Rum 1.217/Rum_Temp_Dag,1.217,setpoint,c,0
99,752510,Rum 1.217/Temp_SP_dag,1.217,setpoint,c,0
100,752511,Rum 1.217/Temp_SP_standby,1.217,setpoint,c,0
101,752512,Rum 1.217/Temp_SP_night,1.217,setpoint,c,0
102,752513,Rum 1.217/Efterløbstid_spjæld,1.217,TBD,TBD,0
103,752514,Rum 1.217/Lux_SP,1.217,light_level_setpoint_for_switch_off,lux,0
104,752515,Rum 1.217/Lux_efterløbstid,1.217,TBD,TBD,0
105,752516,Rum 1.217/Ventilation_status,1.217,TBD,TBD,0
106,752517,Rum 1.217/Rumpanel_lys,1.217,TBD,TBD,0
107,752518,Rum 1.217/Afbryder_loft_lys,1.217,TBD,TBD,0
108,752519,Rum 1.229/VAV02,1.229,extraction_damper,%,0
109,752520,Rum 1.229/Offset_STR,1.229,TBD,TBD,0
110,752521,Rum 1.229/Lux_meter,1.229,occupancy,lux,0
111,752522,Rum 1.229/Light_niveau,1.229,TBD,TBD,0
112,752523,Rum 1.229/Light_supply,1.229,TBD,TBD,0
113,752524,Rum 1.229/Radiator_valve,1.229,opening_signal,%,0
114,752525,Rum 1.229/Rum_Temp_Dag,1.229,setpoint,c,0
115,752526,Rum 1.229/Temp_SP_dag,1.229,setpoint,c,0
116,752527,Rum 1.229/Temp_SP_standby,1.229,setpoint,c,0
117,752528,Rum 1.229/Temp_SP_night,1.229,setpoint,c,0
118,752529,Rum 1.229/Efterløbstid_spjæld,1.229,TBD,TBD,0
119,752530,Rum 1.229/Lux_SP,1.229,light_level_setpoint_for_switch_off,lux,0
120,752531,Rum 1.229/Lux_efterløbstid,1.229,TBD,TBD,0
121,752532,Rum 1.229/Ventilation_status,1.229,TBD,TBD,0
122,752533,Rum 1.229/Rumpanel_lys,1.229,TBD,TBD,0
123,752534,Rum 1.229/Afbryder_loft_lys,1.229,TBD,TBD,0
124,752535,Rum 1.231/VAV02,1.231,extraction_damper,%,0
125,752536,Rum 1.231/Offset_STR,1.231,TBD,TBD,0
126,752537,Rum 1.231/Lux_meter,1.231,occupancy,lux,0
127,752538,Rum 1.231/Light_niveau,1.231,TBD,TBD,0
128,752539,Rum 1.231/Light_supply,1.231,TBD,TBD,0
129,752540,Rum 1.231/Radiator_valve,1.231,opening_signal,%,0
130,752541,Rum 1.231/Rum_Temp_Dag,1.231,setpoint,c,0
131,752542,Rum 1.231/Temp_SP_dag,1.231,setpoint,c,0
132,752543,Rum 1.231/Temp_SP_standby,1.231,setpoint,c,0
133,752544,Rum 1.231/Temp_SP_night,1.231,setpoint,c,0
134,752545,Rum 1.231/Efterløbstid_spjæld,1.231,TBD,TBD,0
135,752546,Rum 1.231/Lux_SP,1.231,light_level_setpoint_for_switch_off,lux,0
136,752547,Rum 1.231/Lux_efterløbstid,1.231,TBD,TBD,0
137,752548,Rum 1.231/Ventilation_status,1.231,TBD,TBD,0
138,752549,Rum 1.231/Rumpanel_lys,1.231,TBD,TBD,0
139,752550,Rum 1.231/Afbryder_loft_lys,1.231,TBD,TBD,0
140,752551,Rum 1.233/VAV02,1.233,extraction_damper,%,0
141,752552,Rum 1.233/Offset_STR,1.233,TBD,TBD,0
142,752553,Rum 1.233/Lux_meter,1.233,occupancy,lux,0
143,752554,Rum 1.233/Light_niveau,1.233,TBD,TBD,0
144,752555,Rum 1.233/Light_supply,1.233,TBD,TBD,0
145,752556,Rum 1.233/Radiator_valve,1.233,opening_signal,%,0
146,752557,Rum 1.233/Rum_Temp_Dag,1.233,setpoint,c,0
147,752558,Rum 1.233/Temp_SP_dag,1.233,setpoint,c,0
148,752559,Rum 1.233/Temp_SP_standby,1.233,setpoint,c,0
149,752560,Rum 1.233/Temp_SP_night,1.233,setpoint,c,0
150,752561,Rum 1.233/Efterløbstid_spjæld,1.233,TBD,TBD,0
151,752562,Rum 1.233/Lux_SP,1.233,light_level_setpoint_for_switch_off,lux,0
152,752563,Rum 1.233/Lux_efterløbstid,1.233,TBD,TBD,0
153,752564,Rum 1.233/Ventilation_status,1.233,TBD,TBD,0
154,752565,Rum 1.233/Rumpanel_lys,1.233,TBD,TBD,0
